,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_jobs,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.3490546226501465,0.2910332466329756,0.5398756980895996,0.3204377513750804,-1,5,uniform,"{'n_jobs': -1, 'n_neighbors': 5, 'weights': 'uniform'}",0.5453909393038306,0.5527696793002915,0.5517201166180759,0.5489795918367347,0.5484548104956268,0.5494629800235565,0.0026023482950279448,9,0.7097230320699709,0.704727336336205,0.7064328508330783,0.7089109488199881,0.7050480313698051,0.7069684398858094,0.0020178448246683527
1,0.4717643737792969,0.18788050065527293,0.6950204849243165,0.2624390477527938,-1,5,distance,"{'n_jobs': -1, 'n_neighbors': 5, 'weights': 'distance'}",0.5422424348434494,0.5467055393586006,0.5481049562682215,0.5457142857142857,0.5445481049562683,0.5454630266702429,0.001989795380318232,10,0.9989504373177842,0.9987317969125814,0.9987463739595632,0.9988192591944725,0.9989504526173087,0.9988396640003421,9.518355103650377e-05
2,0.039884424209594725,0.002944119129885449,1.0869524955749512,0.1794240862282964,-1,100,uniform,"{'n_jobs': -1, 'n_neighbors': 100, 'weights': 'uniform'}",0.6003148504460382,0.6095626822157434,0.6050145772594753,0.6106122448979592,0.6017492711370263,0.6054506652983639,0.004094343252002965,7,0.6139795918367347,0.6124692059882509,0.6130814419614874,0.6114050815585779,0.6158802349819974,0.6133631112654097,0.0015118362790705706
3,0.06786432266235351,0.047304800281043266,1.84627628326416,0.4863989431192669,-1,100,distance,"{'n_jobs': -1, 'n_neighbors': 100, 'weights': 'distance'}",0.595533788117311,0.6033236151603498,0.6002915451895043,0.6073469387755102,0.5985422740524782,0.6010075684248579,0.004052286144195364,8,0.9989504373177842,0.9987317969125814,0.9987463739595632,0.9988192591944725,0.9989504526173087,0.9988396640003421,9.518355103650377e-05
4,0.1372844696044922,0.07576778009846846,2.7594559669494627,0.5032592155048489,-1,200,uniform,"{'n_jobs': -1, 'n_neighbors': 200, 'weights': 'uniform'}",0.6027053816104018,0.6097959183673469,0.6073469387755102,0.6132944606413994,0.6027405247813411,0.6071765926927966,0.00409850719919656,5,0.6120262390670554,0.6102826489409775,0.6109677701491232,0.6099036457194501,0.6119298552499235,0.6110220318253059,0.000852407697710183
5,0.16490092277526855,0.02652646153456836,3.347804069519043,0.5399329688522541,-1,200,distance,"{'n_jobs': -1, 'n_neighbors': 200, 'weights': 'distance'}",0.6007229899131246,0.6080466472303206,0.6054810495626822,0.6133527696793003,0.6002915451895043,0.6055789436857879,0.00485939054973531,6,0.9989504373177842,0.9987317969125814,0.9987463739595632,0.9988192591944725,0.9989504526173087,0.9988396640003421,9.518355103650377e-05
6,0.19020824432373049,0.060309986440110375,6.051789903640747,0.4700861747754999,-1,500,uniform,"{'n_jobs': -1, 'n_neighbors': 500, 'weights': 'uniform'}",0.603638271820885,0.6111953352769679,0.6070553935860058,0.6145189504373177,0.6044897959183674,0.608179496449021,0.004117873063448398,2,0.6113265306122448,0.6092185245113045,0.6095975277328319,0.6080086296118132,0.6104138423638139,0.6097130109664016,0.0011186938212486594
7,0.3189152717590332,0.08107728681741598,6.8170599937438965,0.6856839292536065,-1,500,distance,"{'n_jobs': -1, 'n_neighbors': 500, 'weights': 'distance'}",0.6031718267156434,0.6107871720116618,0.6082798833819242,0.6154518950437318,0.6042565597667638,0.6083894065375329,0.004470883625112837,1,0.9989504373177842,0.9987317969125814,0.9987463739595632,0.9988192591944725,0.9989504526173087,0.9988396640003421,9.518355103650377e-05
8,0.2788794994354248,0.04618226602694949,8.875880193710326,0.8531776321220443,-1,1000,uniform,"{'n_jobs': -1, 'n_neighbors': 1000, 'weights': 'uniform'}",0.6034050492682642,0.6107871720116618,0.6061224489795919,0.6134693877551021,0.6031486880466472,0.6073865027813087,0.004098166996321486,4,0.6088192419825073,0.6075275870614131,0.6085917114910862,0.6071631608868675,0.6086208655850498,0.6081445134013848,0.0006672041755263219
9,0.16087450981140136,0.03472324205752236,10.031968688964843,0.5861356215402099,-1,1000,distance,"{'n_jobs': -1, 'n_neighbors': 1000, 'weights': 'distance'}",0.6025304646959361,0.6109037900874635,0.6071720116618076,0.6135860058309038,0.6033819241982508,0.6075147811687327,0.004251751480137156,3,0.9989504373177842,0.9987317969125814,0.9987463739595632,0.9988192591944725,0.9989504526173087,0.9988396640003421,9.518355103650377e-05
